Question ID ,Simple ID ,Question Text ,Possible Answers
114386,Overshare.or.Undershare,Are you more likely to over-share or under-share? ,"TMI,Mysterious "
114517,TV.in.Morning,Do you turn a TV on in the morning while getting ready for your day? ,"Yes,No "
114748,Drink.Unf.Tap.Water,Do you drink the unfiltered tap water in your home? ,"Yes,No "
114961,Money.Buy.Happiness,Can money buy happiness? ,"Yes,No "
115195,Live.20.mi.from.city,Do you live within 20 miles of a major metropolitan area? ,"Yes,No "
115390,Personality.Changed,Has your personality changed much from what you were like as a child? ,"Yes,No "
115602,Obedient.child,Were you an obedient child? ,"Yes,No "
115610,Positive.Thinking.Work,"Does the ""power of positive thinking"" actually work? ","Yes,No "
115611,Own.Gun,Do you personally own a gun? ,"Yes,No "
115777,Start.or.End.New.Habit,"Do you find it easier to start and maintain a new good habit, or to permanently kick a bad habit? ","Start,End "
115899,Hardships.within.Control,"Would you say most of the hardship in your life has been the result of circumstances beyond your own control, or has it been mostly the result of your own decisions and actions? ","Circumstances,Me "
116197,Morning.Person,Are you a morning person or a night person? ,"A.M.,P.M. "
116441,Car.Payment,Do you have a car payment? ,"Yes,No "
116448,Stop.Lying.Change.Life,"If you had to stop telling *any* lies for 6 months (even the smallest ""little-white-lie"" would immediately make you violently ill), would it change your life in any noticeable way? ","Yes,No "
116601,Traveled.Outside.US,Have you ever traveled out of the U.S.? ,"Yes,No "
116797,Take.MultiVitamin,Do you take a daily multi-vitamin? ,"Yes,No "
116881,Happy.Or.Right,Would you rather be happy or right? ,"Happy,Right "
116953,Like.Rules,Do you like rules? ,"Yes,No "
117186,Quick.Temper,Do you have a quick temper? ,"Hot headed,Cool headed "
117193,Nine.to.Five,"Do you work (or attend school) on a pretty standard ""9-to-5ish"" daytime schedule, or do you have to work unusual hours? ","Standard hours,Odd hours "
118117,Lived.in.same.State,Have you lived in the same state your whole life? ,"Yes,No "
118232,Idealist.or.Pragmatist,Are you more of an idealist or a pragmatist? ,"Idealist,Pragmatist "
118233,Life.Threatened,Have you ever had your life genuinely threatened by intentional violence (or the threat of it)? ,"Yes,No "
118237,Over.your.head.in.life,"Do you feel like you are ""in over-your-head"" in any aspect of your life right now? ","Yes,No "
118892,Wear.Glasses,Do you wear glasses or contact lenses? ,"Yes,No "
119334,Accomplish.anything.2013,Did you accomplish anything exciting or inspiring in 2013? (comments from the 2012 poll are linked for inspiration) ,"Yes,No "
119650,Giving.or.Receiving,Which do you really enjoy more: giving or receiving? ,"Giving,Receiving "
119851,Reading.good.book.now,Are you in the middle of reading a good book right now? ,"Yes,No "
120012,Weather.effect.Mood,Does the weather have a large effect on your mood? ,"Yes,No "
120014,More.successful.than.HS.Friends,Are you more successful than most of your high-school friends? ,"Yes,No "
120194,Study.First.or.Dive.in,"Your generally preferred approach to starting a new task: read up on everything you can before trying it out, or dive in with almost no knowledge and learn as you go? ","Study first,Try first "
120379,Pursue.MS.pHD,Do you have (or plan to pursue) a Masters or Doctoral degree? ,"Yes,No "
120472,Science.or.Art,Science or Art? ,"Science,Art "
120650,Parent.Married.when.born,Were your parents married when you were born? ,"Yes,No "
120978,Watch.Sesame.St,"As a kid, did you watch Sesame Street on a regular basis? ","Yes,No "
121011,Exp.extreme.life.events.2013,"Changing or losing a job, getting married or divorced, the death of a close relative, moving, a major health issue, bankruptcy...all are life events that can create high stress for people. Have you experienced any of these in 2013? ","Yes,No "
121699,Drink.booze.2013,2013: did you drink alcohol? ,"Yes,No "
121700,Start.new.romance.2013,2013: did you start a new romantic relationship? ,"Yes,No "
122120,Jeolous.Type,Your significant other takes an extra long look at a very attractive person (of your gender) walking past both of you. Are you upset? ,"Yes,No "
122769,Collect.anything.hobby,Do you collect anything (as a hobby)? ,"Yes,No "
122770,Have.more.than.20,Do you have more than $20 cash in your wallet or purse right now? ,"Yes,No "
122771,Public.or.Private.School,"Do/did you get most of your K-12 education in public school, or private school? ","Public,Private "
123464,Work.Min.Wage,Do you currently have a job that pays minimum wage? ,"Yes,No "
123621,Full.Time.Emp,Are you currently employed in a full-time job? ,"Yes,No "
124122,Parents.Fight.in.front,Did your parents fight in front of you? ,"Yes,No "
124742,Interact.with.someone.dislike.daily,Do you have to personally interact with anyone that you really dislike on a daily basis? ,"Yes,No "
